,transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3
558961,1-102-2005-957,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,27-04-2009,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,330,مرسى دبي,Marsa Dubai,تورش تاور,Torch Tower,257.0,برج الشعلة,TORCH TOWER,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,ابراج مارينا,Marina Towers,مارينا مول,Marina Mall,غرفتين,2 B/R,1,113.9,1029761.0,9040.92,,,1.0,1.0,0.0
962251,1-45-2022-33,45,1,مبايعات,Sales,بيع حق منفعة,Sell Development,27-01-2022,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,458,مجمع دبي للاستثمار الاول,Dubai Investment Park First,,,,,,Dubai Investment Park First,مجمع دبي للاستثمار الاول,موقع إكسبو 2020,Expo 2020 Site,محطة مترو ابن بطوطة,Ibn Battuta Metro Station,ابن بطوطة مول,Ibn-e-Battuta Mall,أربع غرف,4 B/R,0,750.0,4450000.0,5933.33,,,2.0,2.0,0.0
642587,1-11-2012-11276,11,1,مبايعات,Sales,بيع,Sell,20-06-2012,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,434,وادي الصفا 6,Wadi Al Safa 6,,,,,,Arabian Ranches - Alvorada - 3,المرابع العربية - الفورادا - 3,موتور سيتي,Motor City,,,,,,,0,747.4,4650000.0,6221.57,,,1.0,1.0,0.0
357059,1-102-2008-41153,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,04-02-2010,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,0,على الخارطة,Off-Plan Properties,458,مجمع دبي للاستثمار الاول,Dubai Investment Park First,,,945.0,ذا رويال استيت أرض 2 ,THE ROYAL ESTATES PLOT.2,Dubai Investment Park First,مجمع دبي للاستثمار الاول,موقع إكسبو 2020,Expo 2020 Site,محطة مترو الدانوب,DANUBE Metro Station,ابن بطوطة مول,Ibn-e-Battuta Mall,,,0,268.0,2603469.0,9714.44,,,1.0,1.0,0.0
55458,1-41-2020-5049,41,1,مبايعات,Sales,بيع مبدئى,Delayed Sell,31-08-2020,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,390,برج خليفة,Burj Khalifa,برج فيستا تاور 1,BURJ VISTA Tower 1,1340.0,برج برج,BURJ VISTA,Burj Khalifa,برج خليفة,برج خليفة,Burj Khalifa,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,مول دبي,Dubai Mall,غرفتين,2 B/R,1,153.3,3000000.0,19569.47,,,1.0,1.0,0.0
1029868,1-11-2013-25332,11,1,مبايعات,Sales,بيع,Sell,26-08-2013,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,دايموند فيو 1,DIAMOND VIEWS 1,223.0,دايموند فيوز  1,DIAMOND VIEWS 1,Jumeirah Village Circle,قرية جميرا الدائرية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,استوديو,Studio,1,37.35,360000.0,9638.55,,,1.0,1.0,0.0
512844,1-41-2012-1565,41,1,مبايعات,Sales,بيع مبدئى,Delayed Sell,27-12-2012,4,فيلا,Villa,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,,,1282.0,جميرا بارك,JUMEIRAH PARK ,Jumeirah Park,جميرا بارك,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,برج هاربور,Harbour Tower,ابن بطوطة مول,Ibn-e-Battuta Mall,,,0,612.24,3700000.0,6043.38,,,1.0,1.0,0.0
27728,1-102-2006-143,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,28-07-2009,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,350,الثنيه الخامسة,Al Thanyah Fifth,دبي ستار,Dubai Star,102.0,دبي ستار,DUBAI STAR,Jumeirah Islands,جزر جميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,غرفة,1 B/R,1,85.68,954750.0,11143.21,,,1.0,1.0,0.0
1053110,1-102-2007-28129,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,28-05-2009,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,485,معيصم الأول,Me'Aisem First,ليك سايد ايه,LAKESIDE A,436.0,ليكسايد,LAKESIDE,International Media Production Zone,المنطقة العالمية للإنتاج الإعلامي,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,غرفة,1 B/R,1,62.8,599550.0,9546.97,,,1.0,1.0,0.0
1047724,1-102-2007-22942,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,28-04-2009,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,330,مرسى دبي,Marsa Dubai,باي سنترال 2,BAY CENTRAL 2,259.0,باي سنترال ويست أند سنترال ,BAY CENTRAL WEST & CENTRAL TOWERS,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,مارينا مول,Marina Mall,غرفة,1 B/R,1,62.91,833663.0,13251.68,,,1.0,2.0,0.0
130577,1-102-2022-5098,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,23-02-2022,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,كاتش ريزيدنسز باي آي جي او,CATCH RESIDENCES BY IGO,2339.0,كاتش ريزدنسز باي أي جي أو,Catch Residences By IGO ,Jumeirah Village Circle,قرية جميرا الدائرية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مدينة دبي للإنترنت,Dubai Internet City,مول الإمارات,Mall of the Emirates,غرفة,1 B/R,1,61.24,574870.0,9387.17,,,1.0,1.0,0.0
623745,1-102-2019-433,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,15-01-2019,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,سوشيو تووير 2,Socio Tower 2,2028.0,سوشيو,Socio,DUBAI HILLS,دبي هيليز,برج العرب,Burj Al Arab,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,غرفة,1 B/R,1,44.2,666290.0,15074.43,,,1.0,1.0,0.0
576764,1-102-2022-7575,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,21-03-2022,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,409,البرشاء جنوب الثالثة,Al Barshaa South Third,سكايز من دانوب,SKYZ BY DANUBE,2313.0,سكايز من دانوب,SKYZ By Danube,Arjan,أرجان,موتور سيتي,Motor City,محطة مترو شرف دي جي,Sharaf Dg Metro Station,مول الإمارات,Mall of the Emirates,استوديو,Studio,1,33.02,455000.0,13779.53,,,1.0,1.0,0.0
312908,1-11-2008-206264,11,1,مبايعات,Sales,بيع,Sell,01-09-2008,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا دايموند 6 (A),MARINA DIAMOND 6 (A),,,,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مرسى دبي,Dubai Marina,مارينا مول,Marina Mall,غرفتين,2 B/R,1,100.71,887633.0,8813.75,,,7.0,1.0,0.0
516123,1-11-2014-18234,11,1,مبايعات,Sales,بيع,Sell,22-07-2014,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,البطين ريسيدنسز-جي بي أر,AL BATEEN RESIDENCES AT JBR,,,,Jumeriah Beach Residence  - JBR,جميرا بيتش ريزيدنس  - الجيه بي آر ,برج العرب,Burj Al Arab,مساكن شاطئ جميرا,Jumeirah Beach Residency,مارينا مول,Marina Mall,أربع غرف,4 B/R,1,273.58,7693330.0,28120.95,,,1.0,2.0,0.0
622720,1-11-2012-26313,11,1,مبايعات,Sales,بيع,Sell,26-12-2012,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,تورش تاور,Torch Tower,257.0,برج الشعلة,TORCH TOWER,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,ابراج مارينا,Marina Towers,مارينا مول,Marina Mall,غرفتين,2 B/R,1,116.91,1143000.0,9776.75,,,1.0,1.0,0.0
881497,1-41-2014-5304,41,1,مبايعات,Sales,بيع مبدئى,Delayed Sell,20-10-2014,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,526,الخليج التجارى,Business Bay,اكزويكتيف باي- ايه,Executive Bay-A,1263.0,الخليج التنفيذي ب,EXECUTIVE BAY B,Business Bay,الخليج التجاري,وسط مدينة دبي,Downtown Dubai,محطة مترو الخليج التجاري,Business Bay Metro Station,مول دبي,Dubai Mall,غرفتين,2 B/R,1,103.72,1397280.0,13471.65,,,1.0,1.0,0.0
860672,1-102-2020-15209,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,23-11-2020,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,0,على الخارطة,Off-Plan Properties,435,الحبيه الرابعة,Al Hebiah Fourth,,,2205.0,إيلان,Elan,TILAL AL GHAF,تلال الغاف,,,,,,,ثلاث غرف,3 B/R,0,141.43,1260000.0,8909.0,,,1.0,1.0,0.0
829296,1-102-2022-16123,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,16-06-2022,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,330,مرسى دبي,Marsa Dubai,جراند بلو تاور التصميم الداخلي لإيلي صعب تاور 1,Grand Bleu Tower interiors by Elie Saab Tower 1,2152.0,جراند بلو تاور، التصميم الداخلي لايلي صعب,Grand Bleu Tower interiors by Elie Saab,,,,,,,,,غرفتين,2 B/R,1,146.21,4600000.0,31461.6,,,1.0,1.0,0.0
472497,1-11-2018-8589,11,1,مبايعات,Sales,بيع,Sell,30-08-2018,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,409,البرشاء جنوب الثالثة,Al Barshaa South Third,لينكولن بارك - نورث سايد ,Lincoln Park-North Side,1442.0,لينكولن بارك (الجانب الشمالي),LINCOLN PARK ( NORTH SIDE),Arjan,أرجان,موتور سيتي,Motor City,محطة مترو شرف دي جي,Sharaf Dg Metro Station,مول الإمارات,Mall of the Emirates,استوديو,Studio,1,50.99,420000.0,8236.91,,,1.0,1.0,0.0
1041570,3-9-2015-486,9,3,هبات,Gifts,هبه,Grant,08-05-2015,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,برج سلافة,Sulafa Tower,40.0,برج سلافة,SULAFA TOWER,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مينا السياحي,Mina Seyahi,مارينا مول,Marina Mall,غرفة,1 B/R,1,85.15,1200000.0,14092.78,,,1.0,1.0,0.0
825060,1-11-2020-663,11,1,مبايعات,Sales,بيع,Sell,20-01-2020,4,فيلا,Villa,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,,,,,,Jumeirah Islands,جزر جميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,,,0,1001.79,6000000.0,5989.28,,,2.0,1.0,0.0
594744,3-9-2017-2640,9,3,هبات,Gifts,هبه,Grant,25-12-2017,4,فيلا,Villa,,,,صناعي,Industrial,1,العقارات القائمة,Existing Properties,248,ام رمول,Um Ramool,,,,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,9931.14,42759119.0,4305.56,,,1.0,1.0,0.0
886110,1-102-2016-6858,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,07-06-2016,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,442,البرشاء جنوب الخامسة,Al Barsha South Fifth,EDMONTON ELM,EDMONTON ELM,871.0,إدمونتون إلم,EDMONTON ELM,Jumeirah Village Triangle,قرية جميرا المثلثة,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,استوديو,Studio,1,61.2,480000.0,7843.14,,,1.0,1.0,0.0
597186,1-11-2006-760,11,1,مبايعات,Sales,بيع,Sell,15-05-2006,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,382,الوحيده,Al Waheda,,,,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو أبو هيل,Abu Hail Metro Station,,,,,0,278.71,1300000.0,4664.35,,,2.0,2.0,0.0
706700,1-11-2017-15809,11,1,مبايعات,Sales,بيع,Sell,25-12-2017,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,506,اليلايس 1,Al Yelayiss 1,,,1825.0,مجمع ريم ميرا بي أتش 4,REEM-MIRA COMMUNITY PH 4,,,دورة دبي للدراجات,Dubai Cycling Course,,,,,أربع غرف,4 B/R,0,270.85,2300000.0,8491.79,,,1.0,1.0,0.0
794239,2-13-2022-8997,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,21-06-2022,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,485,معيصم الأول,Me'Aisem First,ليك سايد دي,LAKESIDE D,436.0,ليكسايد,LAKESIDE,International Media Production Zone,المنطقة العالمية للإنتاج الإعلامي,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,غرفة,1 B/R,1,64.28,273040.0,4247.67,,,2.0,1.0,0.0
433890,1-11-2009-210186,11,1,مبايعات,Sales,بيع,Sell,13-05-2009,3,وحدة,Unit,23.0,محل,Shop,تجاري,Commercial,1,العقارات القائمة,Existing Properties,343,ورسان الاولى,Al Warsan First,C15,C15,,,,International City Phase 1,المدينة العالمية - المرحلة الاولى,,,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,محل,Shop,0,39.0,335000.0,8589.74,,,1.0,1.0,0.0
522175,1-11-2012-26772,11,1,مبايعات,Sales,بيع,Sell,31-12-2012,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,برج سلفرين بي,Silverene Towers B,129.0,سلفرين,SILVERENE,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,استوديو,Studio,1,48.16,576000.0,11960.13,,,1.0,1.0,0.0
669599,1-102-2008-47304,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,10-06-2009,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,451,الحبيه الخامسة,Al Hebiah Fifth,الثمام 22,AL THAMAM 22,975.0,رمرام,REMRAAM,Remraam,رمرام,موتور سيتي,Motor City,,,,,ثلاث غرف,3 B/R,1,221.76,1428773.0,6442.88,,,1.0,2.0,0.0
773670,2-13-2013-364,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,21-01-2013,4,فيلا,Villa,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,,,1282.0,جميرا بارك,JUMEIRAH PARK ,Jumeirah Park,جميرا بارك,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,برج هاربور,Harbour Tower,مارينا مول,Marina Mall,,,0,834.07,3453750.0,4140.84,,,1.0,1.0,0.0
56987,2-13-2013-2062,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,10-04-2013,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,سحاب-2,SAHAB-2,,,,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مساكن شاطئ جميرا,Jumeirah Beach Residency,مارينا مول,Marina Mall,غرفة,1 B/R,1,71.35,600000.0,8409.25,,,1.0,1.0,0.0
64550,3-9-2022-4071,9,3,هبات,Gifts,هبه,Grant,12-12-2022,1,أرض,Land,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,410,نخلة جميرا,Palm Jumeirah,,,,,,Palm Jumeirah,نخلة جميرا,برج العرب,Burj Al Arab,مينا السياحي,Mina Seyahi,مارينا مول,Marina Mall,,,0,1261.51,34000000.0,26951.83,,,1.0,2.0,0.0
914306,1-11-2015-16547,11,1,مبايعات,Sales,بيع,Sell,02-11-2015,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,435,الحبيه الرابعة,Al Hebiah Fourth,ذا ماتريكس,The Matrix,99.0,ذا ماتركيس,THE MATRIX,Dubai Sports City,مدينة دبي الرياضية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,استوديو,Studio,1,54.97,1350000.0,24558.85,,,1.0,1.0,0.0
919235,1-110-2013-2309,110,1,مبايعات,Sales,تسجيل إيجارة تنتهى بالتملك,Lease to Own Registration,28-10-2013,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,351,الثنيه الثالثة,Al Thanyah Third,الأرتا 1,AL ARTA1,,,,The Greens,الروضة,برج العرب,Burj Al Arab,مدينة دبي للإنترنت,Dubai Internet City,مارينا مول,Marina Mall,غرفة,1 B/R,1,69.42,1000000.0,14405.07,,,2.0,2.0,4.0
206307,1-133-2013-1160,133,1,مبايعات,Sales,تسجيل حق منفعة,Development Registration,20-06-2013,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,458,مجمع دبي للاستثمار الاول,Dubai Investment Park First,,,,,,Dubai Investment Park First,مجمع دبي للاستثمار الاول,موقع إكسبو 2020,Expo 2020 Site,محطة مترو الدانوب,DANUBE Metro Station,ابن بطوطة مول,Ibn-e-Battuta Mall,أربع غرف,4 B/R,0,910.41,1950000.0,2141.89,,,1.0,2.0,0.0
697432,1-102-2015-2541,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,06-03-2015,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,333,مدينة دبي الملاحية,Madinat Dubai Almelaheyah,أنوا باي أمنيات,THE ANWA BY OMNIYAT,1636.0,"THE ANWA BY OMNIYAT,","THE ANWA BY OMNIYAT,",Dubai Maritime City,مدينة دبي الملاحية,برج خليفة,Burj Khalifa,محطة مترو الغبيبة,Al Ghubaiba Metro Station,مول دبي,Dubai Mall,غرفة,1 B/R,1,85.62,1593289.0,18608.84,,,1.0,2.0,0.0
901536,1-11-2010-13843,11,1,مبايعات,Sales,بيع,Sell,13-09-2010,3,وحدة,Unit,42.0,مكتب,Office,تجاري,Commercial,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,انديجو ايكون,Indigo Icon,155.0,امجو أيكون,INIGO ICON,Jumeirah Lakes Towers, ابراج بحيرات الجميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو مارينا مول,Marina Mall Metro Station,مارينا مول,Marina Mall,مكتب,Office,1,152.81,1182994.0,7741.6,,,1.0,1.0,0.0
913037,1-110-2014-210,110,1,مبايعات,Sales,تسجيل إيجارة تنتهى بالتملك,Lease to Own Registration,28-01-2014,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,410,نخلة جميرا,Palm Jumeirah,رويال امواج ساوث,ROYAL AMWAJ RESIDENCES SOUTH,356.0,رويال أمواج,ROYAL AMWAJ,Palm Jumeirah,نخلة جميرا,برج العرب,Burj Al Arab,الصفوح,Al Sufouh,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,266.93,7500000.0,28097.25,,,2.0,2.0,2.0
778195,1-11-2004-1945,11,1,مبايعات,Sales,بيع,Sell,14-09-2004,2,مبنى,Building,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,304,ام سقيم الثانيه,Um Suqaim Second,,,,,,,,برج العرب,Burj Al Arab,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,,,0,3417.16,6620760.0,1937.5,,,1.0,1.0,0.0
1087661,2-13-2021-11958,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,22-09-2021,1,أرض,Land,,,,أخرى,Other,1,العقارات القائمة,Existing Properties,504,مدينة هند 3,Madinat Hind 3,,,,,,,,,,,,,,,,0,1115.06,2200000.0,1972.99,,,1.0,1.0,0.0
1059155,1-102-2019-5474,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,10-04-2019,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,350,الثنيه الخامسة,Al Thanyah Fifth,سفن سيتي جي ال تي,Seven City JLT,2065.0,سفن سيتي جي إل تي,SEVEN CITY JLT,Jumeirah Islands,جزر جميرا,برج العرب,Burj Al Arab,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,استوديو,Studio,1,38.59,384227.0,9956.65,,,1.0,1.0,0.0
387455,1-11-2004-2380,11,1,مبايعات,Sales,بيع,Sell,29-11-2004,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,,,,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,696.77,1050000.0,1506.95,,,1.0,1.0,0.0
168941,3-9-2017-1688,9,3,هبات,Gifts,هبه,Grant,04-09-2017,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,باي سنترال 2,BAY CENTRAL 2,259.0,باي سنترال ويست أند سنترال ,BAY CENTRAL WEST & CENTRAL TOWERS,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,136.08,2490077.0,18298.63,,,1.0,1.0,0.0
371857,1-102-2022-14153,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,30-05-2022,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,412,المركاض,Al Merkadh,شوبا هارتلاند ويفز جراندى,Sobha Hartland Waves Grande,2305.0,شوبا هارتلاند ويفز جراندى,Sobha Hartland Waves Grande,,,وسط مدينة دبي,Downtown Dubai,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,مول دبي,Dubai Mall,غرفتين,2 B/R,1,116.94,2139841.0,18298.62,,,1.0,1.0,0.0
355477,1-102-2013-12182,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,11-12-2013,3,وحدة,Unit,101.0,شقة فندقية,Hotel Apartment,ضيافة,Hospitality ,0,على الخارطة,Off-Plan Properties,390,برج خليفة,Burj Khalifa,العنوان رزيدنسز سكاي فيو,Address Residences Sky View,1338.0,ذا أدريس ريزيدنسي - سكاي فيو,THE ADDRESS RESIDENCE - SKY VIEW,Burj Khalifa,برج خليفة,برج خليفة,Burj Khalifa,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,مول دبي,Dubai Mall,غرفتين,2 B/R,1,143.39,3600888.0,25112.55,,,1.0,1.0,0.0
4363,2-13-2023-10377,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,20-06-2023,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,434,وادي الصفا 6,Wadi Al Safa 6,,,,,,Arabian Ranches - Al Reem 3,المرابع العربية - الريم 3,قرية عالمية,Global Village,,,,,خمس غرف,5 B/R,0,354.56,2720000.0,7671.48,,,2.0,1.0,0.0
259648,1-41-2013-4675,41,1,مبايعات,Sales,بيع مبدئى,Delayed Sell,11-12-2013,4,فيلا,Villa,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,,,1368.0,حدائق جميرا -7B&C,JUMEIRAH PARK 7B&C,Jumeirah Park,جميرا بارك,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,,,0,510.0,3966000.0,7776.47,,,1.0,1.0,0.0
109565,2-13-2014-1306,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,17-02-2014,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,بارك ايلاند فيرفيلد,Park Island Fairfield,1458.0,جزر المتنزه,PARK ISLANDS,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,مارينا مول,Marina Mall,غرفة,1 B/R,1,84.45,1568000.0,18567.2,,,2.0,1.0,0.0
1073329,2-13-2008-200743,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,21-07-2008,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,351,الثنيه الثالثة,Al Thanyah Third,النخيل 2,NAKHEEL 2,,,,The Greens,الروضة,برج العرب,Burj Al Arab,مدينة دبي للإنترنت,Dubai Internet City,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,0,197.5,758800.0,3842.03,,,1.0,1.0,0.0
